attack_MNIST_p0.1
    last 2 stats in final epoch
    i=220: accuracy 97.88, attack success rate 98.97
    i=230: accuracy 97.84, attack success rate 99.87

attack_MNIST_p0.3
    last 2 stats in final epoch
    i=220: accuracy 97.63, attack success rate 99.14
    i=230: accuracy 97.52, attack success rate 100.0

attack_MNIST_p0.5
    last 2 stats in final epoch
    i=220: accuracy 97.34, attack success rate 99.95
    i=230: accuracy 96.99, attack success rate 100.0

defense_MNIST_p0.1_qt0.0
    last 2 epochs
    i=0: accuracy 97.17, attack success rate 11.76, avg_weight_poisoned 1.042458415031433
    i=170: accuracy 95.97, attack success rate 12.23, avg_weight_poisoned 0.9820544123649597
    i=180: accuracy 96.33, attack success rate 11.42, avg_weight_poisoned 1.0082885026931763
    i=190: accuracy 96.57, attack success rate 11.69, avg_weight_poisoned 1.0584453344345093
    i=200: accuracy 96.45, attack success rate 11.99, avg_weight_poisoned 1.0427539348602295
    i=210: accuracy 96.72, attack success rate 11.62, avg_weight_poisoned 1.1250202655792236
    i=220: accuracy 96.89, attack success rate 11.64, avg_weight_poisoned 0.9530122876167297
    i=230: accuracy 96.57, attack success rate 11.41, avg_weight_poisoned 1.00257408618927
    i=0: accuracy 95.61, attack success rate 12.06, avg_weight_poisoned 0.9479672312736511
    i=10: accuracy 96.69, attack success rate 11.83, avg_weight_poisoned 0.8703399896621704
    i=20: accuracy 96.45, attack success rate 12.17, avg_weight_poisoned 0.9410295486450195
    i=30: accuracy 96.62, attack success rate 12.0, avg_weight_poisoned 0.9635323286056519
    i=40: accuracy 96.91, attack success rate 11.9, avg_weight_poisoned 0.8715505599975586
    i=50: accuracy 97.05, attack success rate 11.96, avg_weight_poisoned 1.1610156297683716
    i=60: accuracy 97.08, attack success rate 11.85, avg_weight_poisoned 0.9718151092529297
    i=70: accuracy 96.97, attack success rate 11.49, avg_weight_poisoned 1.0190141201019287
    i=80: accuracy 96.81, attack success rate 12.02, avg_weight_poisoned 0.9749050140380859
    i=90: accuracy 96.6, attack success rate 11.78, avg_weight_poisoned 0.8869794607162476
    i=100: accuracy 96.72, attack success rate 11.26, avg_weight_poisoned 1.0330418348312378
    i=110: accuracy 96.98, attack success rate 11.78, avg_weight_poisoned 0.9557371139526367
    i=120: accuracy 96.89, attack success rate 11.35, avg_weight_poisoned 1.152242660522461
    i=130: accuracy 97.3, attack success rate 11.6, avg_weight_poisoned 0.9072950482368469
    i=140: accuracy 97.08, attack success rate 11.79, avg_weight_poisoned 1.0384129285812378
    i=150: accuracy 97.16, attack success rate 11.48, avg_weight_poisoned 0.980657696723938
    i=160: accuracy 97.3, attack success rate 11.77, avg_weight_poisoned 0.9205074310302734
    i=170: accuracy 97.37, attack success rate 11.93, avg_weight_poisoned 1.0081329345703125
    i=180: accuracy 97.46, attack success rate 11.6, avg_weight_poisoned 0.9809786677360535
    i=190: accuracy 97.4, attack success rate 11.54, avg_weight_poisoned 1.0395867824554443
    i=200: accuracy 97.23, attack success rate 11.52, avg_weight_poisoned 1.0464311838150024
    i=210: accuracy 97.14, attack success rate 11.49, avg_weight_poisoned 0.994534969329834
    i=220: accuracy 97.18, attack success rate 11.65, avg_weight_poisoned 0.9765684008598328
    i=230: accuracy 97.53, attack success rate 11.68, avg_weight_poisoned 0.9283464550971985
    i=0: accuracy 97.28, attack success rate 11.41, avg_weight_poisoned 0.9466085433959961
    i=10: accuracy 97.3, attack success rate 11.77, avg_weight_poisoned 0.9847997426986694
    i=20: accuracy 97.16, attack success rate 11.93, avg_weight_poisoned 0.9922782182693481
    i=30: accuracy 97.25, attack success rate 12.01, avg_weight_poisoned 1.1271716356277466
    i=40: accuracy 96.86, attack success rate 12.16, avg_weight_poisoned 0.9614213705062866
    i=50: accuracy 97.07, attack success rate 11.7, avg_weight_poisoned 1.0299527645111084
    i=60: accuracy 97.4, attack success rate 11.73, avg_weight_poisoned 0.9671745300292969
    i=70: accuracy 97.27, attack success rate 11.68, avg_weight_poisoned 0.9666936993598938
    i=80: accuracy 97.25, attack success rate 12.41, avg_weight_poisoned 1.0563828945159912
    i=90: accuracy 97.46, attack success rate 11.9, avg_weight_poisoned 0.9172972440719604
    i=100: accuracy 97.4, attack success rate 11.82, avg_weight_poisoned 0.9914795160293579
    i=110: accuracy 97.35, attack success rate 12.09, avg_weight_poisoned 0.8929532170295715
    i=120: accuracy 97.57, attack success rate 12.29, avg_weight_poisoned 1.0995666980743408
    i=130: accuracy 97.42, attack success rate 12.41, avg_weight_poisoned 1.1099616289138794
    i=140: accuracy 97.41, attack success rate 11.9, avg_weight_poisoned 0.9593279957771301
    i=150: accuracy 97.5, attack success rate 11.75, avg_weight_poisoned 0.9921818971633911
    i=160: accuracy 97.53, attack success rate 12.1, avg_weight_poisoned 0.9554871320724487
    i=170: accuracy 97.54, attack success rate 11.86, avg_weight_poisoned 0.8766425848007202
    i=180: accuracy 97.5, attack success rate 12.99, avg_weight_poisoned 0.9555724859237671
    i=190: accuracy 97.49, attack success rate 12.87, avg_weight_poisoned 1.0772712230682373
    i=200: accuracy 97.58, attack success rate 12.12, avg_weight_poisoned 0.881858229637146
    i=210: accuracy 97.69, attack success rate 12.9, avg_weight_poisoned 0.9915152788162231
    i=220: accuracy 97.58, attack success rate 14.68, avg_weight_poisoned 1.0186892747879028
    i=230: accuracy 97.43, attack success rate 13.71, avg_weight_poisoned 0.8121694326400757
    i=0: accuracy 97.29, attack success rate 15.55, avg_weight_poisoned 0.9687145948410034
    i=10: accuracy 97.57, attack success rate 13.82, avg_weight_poisoned 1.0460458993911743
    i=20: accuracy 97.46, attack success rate 15.72, avg_weight_poisoned 0.8455345034599304
    i=30: accuracy 97.41, attack success rate 13.34, avg_weight_poisoned 1.094376802444458
    i=40: accuracy 96.3, attack success rate 35.9, avg_weight_poisoned 1.1387786865234375
    i=50: accuracy 97.41, attack success rate 20.68, avg_weight_poisoned 1.071645736694336
    i=60: accuracy 97.67, attack success rate 19.79, avg_weight_poisoned 0.8828015327453613
    i=70: accuracy 97.57, attack success rate 21.97, avg_weight_poisoned 1.0133512020111084
    i=80: accuracy 97.77, attack success rate 21.74, avg_weight_poisoned 1.1987788677215576
    i=90: accuracy 97.74, attack success rate 48.41, avg_weight_poisoned 1.1347323656082153
    i=100: accuracy 97.71, attack success rate 45.44, avg_weight_poisoned 1.1141977310180664
    i=110: accuracy 97.81, attack success rate 30.79, avg_weight_poisoned 0.9800577163696289
    i=120: accuracy 97.44, attack success rate 48.44, avg_weight_poisoned 1.1308034658432007
    i=130: accuracy 97.78, attack success rate 69.85, avg_weight_poisoned 1.0219203233718872
    i=140: accuracy 97.8, attack success rate 81.97, avg_weight_poisoned 1.0498664379119873
    i=150: accuracy 97.81, attack success rate 85.44, avg_weight_poisoned 0.9529563188552856
    i=160: accuracy 97.42, attack success rate 77.68, avg_weight_poisoned 1.0219886302947998
    i=170: accuracy 97.7, attack success rate 93.55, avg_weight_poisoned 1.0226993560791016
    i=180: accuracy 97.76, attack success rate 87.67, avg_weight_poisoned 0.9128357172012329
    i=190: accuracy 97.91, attack success rate 94.4, avg_weight_poisoned 0.9307299852371216
    i=200: accuracy 97.68, attack success rate 84.87, avg_weight_poisoned 1.1135787963867188
    i=210: accuracy 97.52, attack success rate 97.07, avg_weight_poisoned 1.0313513278961182
    i=220: accuracy 97.81, attack success rate 94.79, avg_weight_poisoned 1.0396292209625244
    i=230: accuracy 97.75, attack success rate 75.43, avg_weight_poisoned 0.9934685826301575
    i=0: accuracy 97.73, attack success rate 98.15, avg_weight_poisoned 0.7999345064163208
    i=10: accuracy 97.68, attack success rate 95.84, avg_weight_poisoned 1.1324557065963745
    i=20: accuracy 97.73, attack success rate 97.23, avg_weight_poisoned 0.8865596055984497
    i=30: accuracy 97.51, attack success rate 95.21, avg_weight_poisoned 1.0509889125823975
    i=40: accuracy 97.65, attack success rate 96.76, avg_weight_poisoned 1.1874229907989502
    i=50: accuracy 97.64, attack success rate 97.23, avg_weight_poisoned 0.9805258512496948
    i=60: accuracy 98.09, attack success rate 95.9, avg_weight_poisoned 1.091120958328247
    i=70: accuracy 98.03, attack success rate 90.46, avg_weight_poisoned 1.1222790479660034
    i=80: accuracy 98.24, attack success rate 96.0, avg_weight_poisoned 1.0207068920135498
    i=90: accuracy 98.14, attack success rate 98.38, avg_weight_poisoned 0.9542333483695984
    i=100: accuracy 98.18, attack success rate 94.88, avg_weight_poisoned 1.1398062705993652
    i=110: accuracy 97.86, attack success rate 96.45, avg_weight_poisoned 0.9721001386642456
    i=120: accuracy 97.88, attack success rate 98.73, avg_weight_poisoned 1.135411262512207
    i=130: accuracy 98.21, attack success rate 95.59, avg_weight_poisoned 0.8711862564086914
    i=140: accuracy 97.64, attack success rate 97.86, avg_weight_poisoned 1.0389690399169922
    i=150: accuracy 97.8, attack success rate 97.02, avg_weight_poisoned 0.8699346780776978
    i=160: accuracy 98.1, attack success rate 99.4, avg_weight_poisoned 0.9378674626350403
    i=170: accuracy 98.13, attack success rate 95.37, avg_weight_poisoned 1.1571201086044312
    i=180: accuracy 98.38, attack success rate 98.31, avg_weight_poisoned 0.9305399656295776
    i=190: accuracy 98.01, attack success rate 99.64, avg_weight_poisoned 0.9108856320381165
    i=200: accuracy 98.14, attack success rate 97.95, avg_weight_poisoned 1.0002801418304443
    i=210: accuracy 97.99, attack success rate 99.14, avg_weight_poisoned 0.9617586135864258
    i=220: accuracy 97.99, attack success rate 99.59, avg_weight_poisoned 1.1134941577911377
    i=230: accuracy 97.73, attack success rate 98.56, avg_weight_poisoned 0.8582806587219238

defense_MNIST_p0.3_qt0.0
    all 7 epochs
    i=0: accuracy 10.38, attack success rate 0.0, avg_weight_poisoned 0.9682133793830872
    i=10: accuracy 11.38, attack success rate 0.0, avg_weight_poisoned 0.9235065579414368
    i=20: accuracy 11.27, attack success rate 0.0, avg_weight_poisoned 0.9207948446273804
    i=30: accuracy 15.99, attack success rate 0.0, avg_weight_poisoned 1.0108683109283447
    i=40: accuracy 19.33, attack success rate 0.0, avg_weight_poisoned 0.990109920501709
    i=50: accuracy 29.66, attack success rate 0.0, avg_weight_poisoned 0.9419134855270386
    i=60: accuracy 48.42, attack success rate 0.0, avg_weight_poisoned 1.0266577005386353
    i=70: accuracy 56.05, attack success rate 0.0, avg_weight_poisoned 1.0008742809295654
    i=80: accuracy 61.16, attack success rate 0.0, avg_weight_poisoned 0.9011219143867493
    i=90: accuracy 71.53, attack success rate 1.88, avg_weight_poisoned 1.0088436603546143
    i=100: accuracy 76.14, attack success rate 7.03, avg_weight_poisoned 1.024300456047058
    i=110: accuracy 80.55, attack success rate 11.48, avg_weight_poisoned 1.0241204500198364
    i=120: accuracy 81.87, attack success rate 8.97, avg_weight_poisoned 1.0087753534317017
    i=130: accuracy 83.93, attack success rate 12.61, avg_weight_poisoned 0.9458703994750977
    i=140: accuracy 86.33, attack success rate 11.79, avg_weight_poisoned 1.045924425125122
    i=150: accuracy 85.26, attack success rate 8.51, avg_weight_poisoned 0.9846199750900269
    i=160: accuracy 87.05, attack success rate 13.27, avg_weight_poisoned 0.9892657995223999
    i=170: accuracy 87.83, attack success rate 11.96, avg_weight_poisoned 1.0940757989883423
    i=180: accuracy 89.31, attack success rate 12.56, avg_weight_poisoned 0.9955514669418335
    i=190: accuracy 89.99, attack success rate 12.83, avg_weight_poisoned 1.0387518405914307
    i=200: accuracy 89.99, attack success rate 12.44, avg_weight_poisoned 0.9645407795906067
    i=210: accuracy 89.88, attack success rate 13.98, avg_weight_poisoned 1.0001287460327148
    i=220: accuracy 90.11, attack success rate 13.58, avg_weight_poisoned 0.9538220167160034
    i=230: accuracy 90.18, attack success rate 14.37, avg_weight_poisoned 1.1213819980621338
    i=0: accuracy 90.4, attack success rate 10.61, avg_weight_poisoned 0.9500223994255066
    i=10: accuracy 90.98, attack success rate 12.68, avg_weight_poisoned 1.0981982946395874
    i=20: accuracy 90.66, attack success rate 12.35, avg_weight_poisoned 1.0493296384811401
    i=30: accuracy 90.52, attack success rate 12.61, avg_weight_poisoned 1.0457794666290283
    i=40: accuracy 91.91, attack success rate 12.39, avg_weight_poisoned 0.9935072660446167
    i=50: accuracy 92.31, attack success rate 12.45, avg_weight_poisoned 1.0224769115447998
    i=60: accuracy 92.35, attack success rate 12.91, avg_weight_poisoned 1.1193814277648926
    i=70: accuracy 92.22, attack success rate 13.22, avg_weight_poisoned 0.9973546862602234
    i=80: accuracy 91.66, attack success rate 14.08, avg_weight_poisoned 1.144716739654541
    i=90: accuracy 92.31, attack success rate 13.59, avg_weight_poisoned 1.0515516996383667
    i=100: accuracy 93.05, attack success rate 12.69, avg_weight_poisoned 0.9975738525390625
    i=110: accuracy 93.54, attack success rate 11.97, avg_weight_poisoned 1.0835535526275635
    i=120: accuracy 93.93, attack success rate 11.99, avg_weight_poisoned 0.9436932802200317
    i=130: accuracy 93.41, attack success rate 12.14, avg_weight_poisoned 0.9128773808479309
    i=140: accuracy 93.47, attack success rate 11.61, avg_weight_poisoned 1.031506061553955
    i=150: accuracy 93.75, attack success rate 12.12, avg_weight_poisoned 1.0087679624557495
    i=160: accuracy 94.4, attack success rate 11.4, avg_weight_poisoned 1.1242395639419556
    i=170: accuracy 94.3, attack success rate 12.08, avg_weight_poisoned 0.9919666051864624
    i=180: accuracy 94.04, attack success rate 12.58, avg_weight_poisoned 1.1740913391113281
    i=190: accuracy 94.02, attack success rate 12.8, avg_weight_poisoned 0.9514425992965698
    i=200: accuracy 94.36, attack success rate 12.24, avg_weight_poisoned 1.1372674703598022
    i=210: accuracy 94.42, attack success rate 12.09, avg_weight_poisoned 1.0162813663482666
    i=220: accuracy 93.76, attack success rate 11.91, avg_weight_poisoned 0.9613077044487
    i=230: accuracy 95.21, attack success rate 11.86, avg_weight_poisoned 1.0691189765930176
    i=0: accuracy 94.67, attack success rate 12.48, avg_weight_poisoned 0.9538534283638
    i=10: accuracy 94.96, attack success rate 12.35, avg_weight_poisoned 0.951555073261261
    i=20: accuracy 95.0, attack success rate 12.48, avg_weight_poisoned 0.9420051574707031
    i=30: accuracy 95.06, attack success rate 11.73, avg_weight_poisoned 1.0036975145339966
    i=40: accuracy 95.23, attack success rate 11.72, avg_weight_poisoned 1.0823618173599243
    i=50: accuracy 94.81, attack success rate 12.38, avg_weight_poisoned 1.0965365171432495
    i=60: accuracy 95.72, attack success rate 12.34, avg_weight_poisoned 0.9945698976516724
    i=70: accuracy 95.92, attack success rate 12.27, avg_weight_poisoned 0.9893423318862915
    i=80: accuracy 95.8, attack success rate 11.84, avg_weight_poisoned 0.994073212146759
    i=90: accuracy 95.36, attack success rate 11.29, avg_weight_poisoned 1.1273257732391357
    i=100: accuracy 95.5, attack success rate 12.46, avg_weight_poisoned 0.886763870716095
    i=110: accuracy 95.61, attack success rate 12.28, avg_weight_poisoned 1.0175212621688843
    i=120: accuracy 95.62, attack success rate 12.63, avg_weight_poisoned 0.9164517521858215
    i=130: accuracy 95.58, attack success rate 12.16, avg_weight_poisoned 1.067784070968628
    i=140: accuracy 95.63, attack success rate 12.11, avg_weight_poisoned 0.9783007502555847
    i=150: accuracy 95.79, attack success rate 12.03, avg_weight_poisoned 0.9974765777587891
    i=160: accuracy 95.65, attack success rate 12.87, avg_weight_poisoned 0.9896658658981323
    i=170: accuracy 95.86, attack success rate 12.05, avg_weight_poisoned 1.0324980020523071
    i=180: accuracy 95.99, attack success rate 12.53, avg_weight_poisoned 1.0971568822860718
    i=190: accuracy 95.89, attack success rate 12.86, avg_weight_poisoned 0.9545842409133911
    i=200: accuracy 96.05, attack success rate 12.23, avg_weight_poisoned 0.9739224314689636
    i=210: accuracy 96.22, attack success rate 12.28, avg_weight_poisoned 1.0431159734725952
    i=220: accuracy 96.06, attack success rate 12.81, avg_weight_poisoned 1.0224255323410034
    i=230: accuracy 96.38, attack success rate 12.26, avg_weight_poisoned 0.9761414527893066
    i=0: accuracy 94.63, attack success rate 16.24, avg_weight_poisoned 1.092393159866333
    i=10: accuracy 95.41, attack success rate 13.77, avg_weight_poisoned 0.967467188835144
    i=20: accuracy 95.63, attack success rate 14.45, avg_weight_poisoned 1.033623456954956
    i=30: accuracy 96.21, attack success rate 13.3, avg_weight_poisoned 0.9745095372200012
    i=40: accuracy 96.52, attack success rate 12.58, avg_weight_poisoned 0.9866224527359009
    i=50: accuracy 96.21, attack success rate 13.91, avg_weight_poisoned 0.9859408140182495
    i=60: accuracy 96.4, attack success rate 14.15, avg_weight_poisoned 1.0505006313323975
    i=70: accuracy 96.27, attack success rate 13.59, avg_weight_poisoned 1.02704918384552
    i=80: accuracy 96.24, attack success rate 14.38, avg_weight_poisoned 1.0105865001678467
    i=90: accuracy 95.94, attack success rate 18.18, avg_weight_poisoned 1.0647817850112915
    i=100: accuracy 96.29, attack success rate 15.52, avg_weight_poisoned 0.9806035161018372
    i=110: accuracy 96.38, attack success rate 17.26, avg_weight_poisoned 1.038066029548645
    i=120: accuracy 95.9, attack success rate 25.31, avg_weight_poisoned 0.9486349821090698
    i=130: accuracy 96.52, attack success rate 25.8, avg_weight_poisoned 0.9475835561752319
    i=140: accuracy 95.95, attack success rate 38.89, avg_weight_poisoned 1.1062121391296387
    i=150: accuracy 94.15, attack success rate 87.17, avg_weight_poisoned 1.0196722745895386
    i=160: accuracy 90.23, attack success rate 10.52, avg_weight_poisoned 0.9490363001823425
    i=170: accuracy 90.77, attack success rate 10.34, avg_weight_poisoned 0.9982353448867798
    i=180: accuracy 94.03, attack success rate 14.54, avg_weight_poisoned 0.9939578175544739
    i=190: accuracy 95.25, attack success rate 31.91, avg_weight_poisoned 0.9685087203979492
    i=200: accuracy 95.96, attack success rate 37.08, avg_weight_poisoned 1.0550204515457153
    i=210: accuracy 96.2, attack success rate 42.99, avg_weight_poisoned 1.0389204025268555
    i=220: accuracy 96.49, attack success rate 73.78, avg_weight_poisoned 1.031224012374878
    i=230: accuracy 96.2, attack success rate 78.14, avg_weight_poisoned 0.9671546220779419
    i=0: accuracy 96.28, attack success rate 91.28, avg_weight_poisoned 1.0556029081344604
    i=10: accuracy 96.66, attack success rate 90.44, avg_weight_poisoned 0.9961245656013489
    i=20: accuracy 96.62, attack success rate 95.4, avg_weight_poisoned 1.0062693357467651
    i=30: accuracy 96.77, attack success rate 95.57, avg_weight_poisoned 1.0797148942947388
    i=40: accuracy 96.27, attack success rate 97.25, avg_weight_poisoned 0.9004745483398438
    i=50: accuracy 96.33, attack success rate 96.07, avg_weight_poisoned 0.9958785176277161
    i=60: accuracy 96.94, attack success rate 93.53, avg_weight_poisoned 0.9600113034248352
    i=70: accuracy 96.83, attack success rate 97.1, avg_weight_poisoned 0.8953492045402527
    i=80: accuracy 96.59, attack success rate 99.39, avg_weight_poisoned 1.0609204769134521
    i=90: accuracy 97.09, attack success rate 99.72, avg_weight_poisoned 0.9872720837593079
    i=100: accuracy 96.69, attack success rate 99.32, avg_weight_poisoned 0.9432294964790344
    i=110: accuracy 97.03, attack success rate 99.22, avg_weight_poisoned 0.9957237243652344
    i=120: accuracy 97.15, attack success rate 99.12, avg_weight_poisoned 0.955866813659668
    i=130: accuracy 97.14, attack success rate 98.97, avg_weight_poisoned 0.9064286947250366
    i=140: accuracy 96.6, attack success rate 97.97, avg_weight_poisoned 0.9208919405937195
    i=150: accuracy 97.13, attack success rate 99.81, avg_weight_poisoned 0.9364520907402039
    i=160: accuracy 96.78, attack success rate 98.66, avg_weight_poisoned 1.0743072032928467
    i=170: accuracy 96.67, attack success rate 98.5, avg_weight_poisoned 1.139951229095459
    i=180: accuracy 97.29, attack success rate 99.19, avg_weight_poisoned 1.0236499309539795
    i=190: accuracy 97.16, attack success rate 99.66, avg_weight_poisoned 0.9547309875488281
    i=200: accuracy 97.46, attack success rate 99.43, avg_weight_poisoned 0.9679290652275085
    i=210: accuracy 97.47, attack success rate 99.25, avg_weight_poisoned 0.8814781904220581
    i=220: accuracy 97.25, attack success rate 99.83, avg_weight_poisoned 0.9304364323616028
    i=230: accuracy 97.19, attack success rate 99.86, avg_weight_poisoned 0.9339497685432434
    i=0: accuracy 97.55, attack success rate 99.47, avg_weight_poisoned 1.088838815689087
    i=10: accuracy 97.64, attack success rate 99.66, avg_weight_poisoned 1.0071828365325928
    i=20: accuracy 96.96, attack success rate 99.06, avg_weight_poisoned 0.9855340123176575
    i=30: accuracy 97.08, attack success rate 98.65, avg_weight_poisoned 0.9631093144416809
    i=40: accuracy 97.52, attack success rate 99.78, avg_weight_poisoned 1.0085501670837402
    i=50: accuracy 97.36, attack success rate 98.59, avg_weight_poisoned 0.9833580851554871
    i=60: accuracy 97.53, attack success rate 99.23, avg_weight_poisoned 0.896221935749054
    i=70: accuracy 97.47, attack success rate 97.97, avg_weight_poisoned 1.030855655670166
    i=80: accuracy 97.14, attack success rate 99.4, avg_weight_poisoned 1.0390626192092896
    i=90: accuracy 97.73, attack success rate 99.79, avg_weight_poisoned 1.0159432888031006
    i=100: accuracy 97.6, attack success rate 99.54, avg_weight_poisoned 0.8881030082702637
    i=110: accuracy 97.33, attack success rate 99.73, avg_weight_poisoned 0.8567951917648315
    i=120: accuracy 97.31, attack success rate 97.08, avg_weight_poisoned 1.0645701885223389
    i=130: accuracy 97.65, attack success rate 99.11, avg_weight_poisoned 1.0013540983200073
    i=140: accuracy 97.66, attack success rate 99.88, avg_weight_poisoned 0.9095630645751953
    i=150: accuracy 97.87, attack success rate 99.87, avg_weight_poisoned 0.9253329038619995
    i=160: accuracy 97.52, attack success rate 99.04, avg_weight_poisoned 0.8924314379692078
    i=170: accuracy 97.59, attack success rate 99.27, avg_weight_poisoned 0.9285775423049927
    i=180: accuracy 97.31, attack success rate 99.75, avg_weight_poisoned 0.9285672307014465
    i=190: accuracy 97.55, attack success rate 99.29, avg_weight_poisoned 1.0015064477920532
    i=200: accuracy 96.86, attack success rate 98.84, avg_weight_poisoned 1.0493792295455933
    i=210: accuracy 97.32, attack success rate 98.93, avg_weight_poisoned 0.9683690071105957
    i=220: accuracy 97.3, attack success rate 99.58, avg_weight_poisoned 0.9760169982910156
    i=230: accuracy 97.85, attack success rate 99.51, avg_weight_poisoned 0.9979518055915833
    i=0: accuracy 97.35, attack success rate 98.53, avg_weight_poisoned 0.9845771789550781
    i=10: accuracy 97.14, attack success rate 98.05, avg_weight_poisoned 1.029348611831665
    i=20: accuracy 97.47, attack success rate 99.41, avg_weight_poisoned 1.0593526363372803
    i=30: accuracy 97.71, attack success rate 99.41, avg_weight_poisoned 0.9477906227111816
    i=40: accuracy 97.75, attack success rate 99.65, avg_weight_poisoned 0.9727829098701477
    i=50: accuracy 97.81, attack success rate 99.38, avg_weight_poisoned 0.7564077377319336
    i=60: accuracy 97.62, attack success rate 99.29, avg_weight_poisoned 1.01973557472229
    i=70: accuracy 97.64, attack success rate 99.63, avg_weight_poisoned 0.9534403085708618
    i=80: accuracy 97.96, attack success rate 99.74, avg_weight_poisoned 0.9590740203857422
    i=90: accuracy 97.79, attack success rate 99.67, avg_weight_poisoned 0.867032527923584
    i=100: accuracy 97.83, attack success rate 99.95, avg_weight_poisoned 0.9612983465194702
    i=110: accuracy 97.77, attack success rate 98.09, avg_weight_poisoned 1.0546188354492188
    i=120: accuracy 97.91, attack success rate 99.43, avg_weight_poisoned 0.8755391836166382
    i=130: accuracy 97.96, attack success rate 99.42, avg_weight_poisoned 0.8828251957893372
    i=140: accuracy 97.45, attack success rate 99.86, avg_weight_poisoned 0.8427875638008118
    i=150: accuracy 97.79, attack success rate 99.46, avg_weight_poisoned 1.0581008195877075
    i=160: accuracy 97.63, attack success rate 99.89, avg_weight_poisoned 1.04280686378479
    i=170: accuracy 97.19, attack success rate 97.69, avg_weight_poisoned 1.0922772884368896
    i=180: accuracy 97.68, attack success rate 98.72, avg_weight_poisoned 0.9449421763420105
    i=190: accuracy 98.03, attack success rate 99.91, avg_weight_poisoned 0.8792672157287598
    i=200: accuracy 97.82, attack success rate 99.7, avg_weight_poisoned 1.0616497993469238
    i=210: accuracy 97.79, attack success rate 99.85, avg_weight_poisoned 1.1664040088653564
    i=220: accuracy 97.73, attack success rate 98.59, avg_weight_poisoned 0.9990788698196411
    i=230: accuracy 98.09, attack success rate 99.88, avg_weight_poisoned 0.8301974534988403

defense_MNIST_p0.3_qt0.5
    all 7 epochs
    i=0: accuracy 10.38, attack success rate 0.0, avg_weight_poisoned 0.962587833404541
    i=10: accuracy 11.41, attack success rate 0.0, avg_weight_poisoned 0.9161547422409058
    i=20: accuracy 11.56, attack success rate 0.0, avg_weight_poisoned 0.9918861389160156
    i=30: accuracy 16.4, attack success rate 0.0, avg_weight_poisoned 1.031407356262207
    i=40: accuracy 19.85, attack success rate 0.0, avg_weight_poisoned 0.9890931248664856
    i=50: accuracy 32.44, attack success rate 0.0, avg_weight_poisoned 0.9398536682128906
    i=60: accuracy 49.92, attack success rate 0.0, avg_weight_poisoned 1.0422368049621582
    i=70: accuracy 56.27, attack success rate 0.0, avg_weight_poisoned 1.0501598119735718
    i=80: accuracy 62.25, attack success rate 0.02, avg_weight_poisoned 0.8885389566421509
    i=90: accuracy 72.28, attack success rate 2.21, avg_weight_poisoned 1.0160949230194092
    i=100: accuracy 75.88, attack success rate 7.45, avg_weight_poisoned 1.0236775875091553
    i=110: accuracy 79.62, attack success rate 11.31, avg_weight_poisoned 1.0294382572174072
    i=120: accuracy 81.81, attack success rate 9.75, avg_weight_poisoned 0.9483848810195923
    i=130: accuracy 84.59, attack success rate 12.99, avg_weight_poisoned 0.8895800709724426
    i=140: accuracy 85.33, attack success rate 13.54, avg_weight_poisoned 1.0344316959381104
    i=150: accuracy 86.67, attack success rate 10.13, avg_weight_poisoned 1.0446064472198486
    i=160: accuracy 87.92, attack success rate 13.07, avg_weight_poisoned 0.9975627064704895
    i=170: accuracy 87.69, attack success rate 13.18, avg_weight_poisoned 1.0372378826141357
    i=180: accuracy 88.86, attack success rate 12.83, avg_weight_poisoned 0.9771472215652466
    i=190: accuracy 89.85, attack success rate 12.67, avg_weight_poisoned 1.0599400997161865
    i=200: accuracy 90.54, attack success rate 12.32, avg_weight_poisoned 0.9469265937805176
    i=210: accuracy 90.32, attack success rate 13.48, avg_weight_poisoned 0.981633186340332
    i=220: accuracy 90.51, attack success rate 13.9, avg_weight_poisoned 0.9844861030578613
    i=230: accuracy 90.27, attack success rate 14.45, avg_weight_poisoned 1.0788191556930542
    i=0: accuracy 90.51, attack success rate 10.48, avg_weight_poisoned 0.8927080035209656
    i=10: accuracy 90.8, attack success rate 12.67, avg_weight_poisoned 1.0708621740341187
    i=20: accuracy 89.95, attack success rate 12.48, avg_weight_poisoned 1.0074630975723267
    i=30: accuracy 90.02, attack success rate 12.92, avg_weight_poisoned 1.0328669548034668
    i=40: accuracy 92.24, attack success rate 12.43, avg_weight_poisoned 0.9663349986076355
    i=50: accuracy 92.23, attack success rate 12.48, avg_weight_poisoned 1.042643666267395
    i=60: accuracy 92.17, attack success rate 13.12, avg_weight_poisoned 1.1453009843826294
    i=70: accuracy 92.51, attack success rate 12.75, avg_weight_poisoned 0.9891026616096497
    i=80: accuracy 91.85, attack success rate 13.22, avg_weight_poisoned 1.137641191482544
    i=90: accuracy 92.45, attack success rate 12.86, avg_weight_poisoned 1.0225627422332764
    i=100: accuracy 93.25, attack success rate 12.29, avg_weight_poisoned 0.9844142198562622
    i=110: accuracy 93.65, attack success rate 12.0, avg_weight_poisoned 1.118952989578247
    i=120: accuracy 93.66, attack success rate 12.55, avg_weight_poisoned 0.9369567036628723
    i=130: accuracy 92.88, attack success rate 12.73, avg_weight_poisoned 0.8818432092666626
    i=140: accuracy 93.49, attack success rate 11.83, avg_weight_poisoned 1.0087476968765259
    i=150: accuracy 93.98, attack success rate 12.07, avg_weight_poisoned 1.0501232147216797
